national_inv,lead_time,in_transit_qty,forecast_3_month,sales_3_month,went_on_backorder
0,8.0,0,24,15,1
60,8.0,0,1000,303,1
2,8.0,0,50,0,0
50,8.0,39,64,174,1
187,9.0,0,0,17,0
0,8.0,0,2,3,0
-2,8.0,0,16,19,1
2,8.0,0,0,1,0
0,8.0,0,6,5,1
24,2.0,0,0,8,0
1,12.0,0,0,0,0
3,12.0,0,0,3,1
9,2.0,0,0,5,0
2,8.0,0,0,0,0
1,9.0,0,14,14,1
12,8.0,0,0,1,0
20,2.0,0,45,42,1
427,8.0,0,0,12,0
0,2.0,0,5,0,1
5,4.0,0,0,0,0
17,8.0,0,0,0,0
19,8.0,0,0,1,0
63,8.0,103,100,117,0
2,12.0,0,0,0,0
3,8.0,0,15,7,1
0,12.0,0,7,2,1
1,2.0,0,2,4,1
0,2.0,0,7,2,1
0,2.0,0,88,0,1
11,8.0,0,0,2,0
4,2.0,0,5,1,1
0,2.0,0,178,4,1
96,12.0,0,0,0,0
314,8.0,0,0,47,0
0,2.0,0,20,0,1
24,8.0,0,0,0,0
6,4.0,1,0,0,0
449,12.0,0,0,0,0
25,2.0,0,24,12,0
34,9.0,0,0,9,1
0,10.0,0,4,6,1
1,8.0,0,10,10,1
0,2.0,0,2,0,1
0,9.0,0,9,4,1
0,8.0,0,3,3,1
0,8.0,0,12,13,1
0,10.0,0,56,39,1
0,2.0,0,2,5,1
3,8.0,0,6,16,1
2,12.0,0,0,0,0
80,8.0,0,0,0,0
3,9.0,0,0,0,0
0,2.0,0,23,9,1
367,8.0,0,0,18,0
3,2.0,0,4,4,1
-126,8.0,0,1286,978,1
9,9.0,16,13,13,1
0,12.0,0,14,14,1
0,9.0,0,12,14,1
12,8.0,0,30,1,1
35,8.0,0,0,20,0
1,4.0,0,0,1,1
35,8.0,0,317,222,1
2,12.0,0,0,3,1
91,2.0,0,38,43,1
0,8.0,0,118,0,1
50,2.0,0,10,46,1
0,8.0,0,9,9,1
35,9.0,0,0,10,0
10,12.0,0,0,0,0
2,9.0,0,8,10,1
-18,2.0,0,210,157,1
6,2.0,0,0,0,0
0,2.0,0,1,2,1
107,2.0,340,90,495,0
3,4.0,0,7,2,1
2,2.0,0,4,2,1
3,2.0,0,10,0,0
2,2.0,2,4,5,0
54,16.0,0,621,522,1
0,2.0,0,0,0,0
3,8.0,0,1,5,1
-1,16.0,0,6,2,1
5,12.0,0,26,19,0
0,9.0,0,5,0,1
8,8.0,0,64,35,0
298,8.0,0,1441,1910,1
4,12.0,0,0,0,0
0,8.0,0,1,1,1
1,8.0,0,5,4,1
3,12.0,0,0,0,0
0,9.0,0,1,3,1
6,8.0,0,18,8,1
0,12.0,0,5,0,1
13849,8.0,0,0,0,0
53,8.0,0,0,0,0
7,8.0,0,0,0,0
4,8.0,0,2,2,1
56,2.0,0,0,15,0
37,8.0,0,200,89,1
9,14.0,0,0,0,0
2,8.0,0,20,0,0
5,8.0,0,8,7,1
0,2.0,0,3,2,1
6,10.0,0,0,0,0
603,2.0,168,412,311,0
73,17.0,0,0,18,0
13,2.0,0,0,0,0
0,12.0,0,9,5,1
0,12.0,0,9,3,1
7,2.0,0,12,12,1
2,12.0,0,0,0,0
62,8.0,2,20,29,0
-3,8.0,0,47,16,1
20,12.0,0,0,0,0
0,2.0,0,5,0,0
1,2.0,0,15,10,1
3,8.0,0,1,5,1
0,5.0,0,1894,0,1
0,2.0,0,9,1,1
7,9.0,0,0,0,0
217,8.0,5,85,97,0
11,2.0,0,0,0,0
3,8.0,0,0,0,0
5,8.0,0,24,34,1
114,8.0,3,64,97,0
-29,8.0,0,88,29,1
2030,8.0,3590,0,1392,0
5,2.0,0,25,29,1
0,8.0,0,2,0,1
17,12.0,0,0,3,0
-13,8.0,0,21,12,1
1,8.0,0,0,5,0
6,10.0,1,0,2,0
25,8.0,0,306,164,1
0,8.0,0,1,5,1
0,8.0,0,6,0,1
0,5.0,0,12,0,1
147,2.0,69,120,118,0
2,9.0,0,8,6,1
70,12.0,4,50,66,0
0,0.0,0,58,1,1
105,8.0,0,0,22,0
152,2.0,0,0,0,0
0,2.0,0,17,4,1
4,9.0,0,1,0,0
2,8.0,0,12,6,1
23,8.0,2,0,9,0
544,52.0,5,0,31,0
0,2.0,0,7,3,1
4,12.0,0,0,3,0
2,8.0,0,1,1,0
6,4.0,0,0,6,1
0,10.0,0,2,4,1
5,2.0,0,10,11,1
0,8.0,0,14,0,1
1,12.0,0,3,1,0
74,0.0,0,0,0,0
4,2.0,0,0,0,0
41,9.0,0,0,1,0
10,4.0,0,0,0,0
211,12.0,0,100,125,0
151,12.0,0,34,94,0
247,8.0,0,242,189,0
0,8.0,0,0,0,0
132,8.0,0,0,4,0
4,8.0,1,15,14,1
156,3.0,0,0,4,0
3,4.0,4,2,0,0
-2036,8.0,36,15000,9162,1
2,2.0,0,38,23,1
92,8.0,0,12,44,0
2,10.0,0,0,0,0
59,0.0,0,0,17,0
5,0.0,0,10,17,1
1,12.0,0,3,4,1
3,9.0,0,17,10,1
6,52.0,0,0,2,0
0,8.0,0,5,0,1
67,8.0,0,0,1,0
0,8.0,0,6,3,1
6,8.0,0,0,0,0
0,2.0,0,6,0,1
3,2.0,0,0,0,1
37,8.0,0,0,29,1
1,8.0,0,3,3,1
6,4.0,0,0,4,1
4,12.0,0,0,0,0
0,8.0,0,9,11,1
321,8.0,24,80,261,0
-2,8.0,0,68,50,1
0,2.0,0,0,1,1
4,2.0,0,1,3,1
0,2.0,0,34,0,1
10,2.0,0,0,0,1
9,8.0,0,13,11,1
44,2.0,30,103,113,0
0,12.0,0,4,3,1
0,2.0,0,9,0,0
2,2.0,0,12,10,1
1,9.0,0,0,0,0
2,8.0,0,0,0,0
1,14.0,0,27,9,1
2,8.0,0,7,5,1
10,4.0,0,0,2,0
4,8.0,7,7,7,1
7,2.0,0,0,0,0
4,2.0,0,2,7,1
10,12.0,0,0,0,0
3,2.0,0,0,0,0
0,8.0,0,115,0,1
0,9.0,0,5,0,0
10,2.0,1,6,3,0
3,8.0,2,105,40,1
9,8.0,0,74,31,1
124,8.0,0,0,16,1
88,8.0,0,0,12,0
8,2.0,2,2,5,1
26,2.0,0,0,4,1
1,14.0,0,8,0,1
1,8.0,0,1,1,0
17,2.0,0,0,5,1
25,2.0,0,0,1,0
76,52.0,0,0,0,0
110,2.0,0,0,41,0
0,2.0,0,14,19,1
17,4.0,0,167,66,1
5,8.0,0,0,1,0
57,8.0,1,896,362,1
2,9.0,0,0,0,0
3,2.0,0,0,0,1
1,8.0,0,2,2,1
7,12.0,0,0,1,0
10,8.0,0,0,0,0
420,2.0,0,0,3,0
9,2.0,0,25,26,1
272,52.0,0,0,1,0
188,12.0,0,0,0,0
-9,2.0,5,340,167,1
6,12.0,0,0,0,0
4,2.0,0,0,0,1
5,8.0,0,36,19,1
11,4.0,0,0,0,0
2,12.0,0,0,0,0
0,8.0,0,4,4,1
9,8.0,5,71,37,1
0,14.0,0,12,0,1
0,2.0,0,22,0,1
1,8.0,0,5,2,1
3,8.0,1,0,1,0
0,8.0,0,5,4,1
2,8.0,0,1,2,1
12,8.0,0,80,51,1
12,8.0,1,5,10,1
0,8.0,0,20,10,1
5,8.0,0,0,4,0
1,4.0,0,0,0,0
1,9.0,0,0,0,0
0,2.0,0,5,0,1
2,8.0,0,0,0,0
0,10.0,0,8,8,0
4,8.0,0,0,1,0
6,0.0,0,3,6,1
11,4.0,0,0,0,0
0,8.0,0,8,3,1
-24,8.0,9,556,386,1
1,2.0,0,8,3,1
80,8.0,55,45,69,0
37,2.0,0,0,6,0
43,8.0,3,37,54,0
4,9.0,0,0,0,0
0,12.0,0,29,7,1
-1,2.0,0,10,12,1
11,8.0,3,32,25,0
11,8.0,0,0,0,0
3,8.0,0,21,25,1
0,2.0,0,4,1,1
2,8.0,0,38,27,1
6,8.0,0,0,0,0
0,9.0,0,6,3,1
4,9.0,0,0,0,0
2,8.0,0,0,0,0
5,8.0,1,149,115,1
60,12.0,0,0,0,0
0,4.0,20,0,49,0
9,8.0,1,175,130,1
1,8.0,0,12,11,1
3,12.0,0,0,0,0
91,8.0,13,22,51,0
535,8.0,143,1170,921,0
0,12.0,0,4,0,1
0,8.0,0,5,4,1
7,2.0,0,6,6,1
4,8.0,0,1,6,1
7,8.0,0,0,0,0
16,8.0,0,0,5,1
56,2.0,0,0,56,1
5,2.0,0,54,11,1
-32,8.0,0,161,120,1
82,12.0,0,0,0,0
0,8.0,0,4,1,0
2,8.0,0,0,0,0
12,2.0,0,0,0,0
117,8.0,0,100,189,1
6,12.0,0,14,19,1
19,2.0,0,0,5,0
19,13.0,0,24,47,1
3,8.0,0,9,9,1
2,8.0,0,40,20,1
2,8.0,0,4,4,0
4,2.0,2,28,31,1
2,2.0,0,0,0,0
2,8.0,0,6,8,1
55,8.0,0,44,36,0
2,8.0,0,15,15,1
0,2.0,0,5,0,1
7,9.0,0,0,0,0
2,9.0,0,0,0,0
3,8.0,0,0,0,1
139,9.0,0,0,40,0
0,2.0,0,13,0,0
2,4.0,0,0,0,0
4,2.0,0,2,7,1
3982,8.0,187,1944,2958,0
0,2.0,0,5,0,1
0,4.0,0,12,0,0
9,8.0,0,0,1,0
-2,8.0,0,8,1,1
50,8.0,6,88,53,0
51,12.0,0,0,0,0
28,8.0,0,0,0,0
2,8.0,0,0,0,0
11,4.0,0,0,0,0
15,12.0,119,699,585,1
1,8.0,17,248,145,1
60,8.0,0,0,7,0
1285,8.0,646,540,1126,0
16,2.0,0,0,48,1
0,8.0,0,15,3,1
534,13.0,0,0,10,0
-25,2.0,0,3029,2002,1
3,12.0,0,0,0,0
0,5.0,0,11,0,1
15,4.0,0,0,2,1
3,8.0,0,600,49,1
2,8.0,0,21,23,1
352,4.0,112,208,201,0
6,8.0,1,32,21,0
132,8.0,73,115,139,0
3,2.0,0,0,0,0
4,8.0,0,14,8,1
14,8.0,0,19,8,0
9,12.0,0,24,30,1
14,2.0,0,0,1,0
4,2.0,0,0,0,0
7,8.0,0,0,0,0
2,8.0,0,20,5,1
1,8.0,0,0,0,0
63,8.0,0,0,11,0
3,5.0,0,0,2,1
-4,2.0,0,188,153,1
3,8.0,0,0,0,0
0,8.0,0,3,0,1
156,8.0,50,415,408,1
1078,4.0,0,0,19,0
19,8.0,0,0,0,0
0,12.0,0,5,3,1
30,8.0,14,42,56,1
7,2.0,0,30,8,1
4,12.0,0,0,0,0
0,9.0,0,0,0,0
741,8.0,6,0,33,0
8,8.0,0,7,12,1
27,8.0,0,0,2,0
19,8.0,20,181,173,1
14,9.0,0,0,0,0
12,8.0,0,0,1,0
0,2.0,0,4,0,1
-54,8.0,24,465,363,1
94,8.0,3,80,72,0
3,8.0,0,0,1,1
10,10.0,0,0,1,0
0,12.0,0,40,22,1
0,8.0,0,320,0,1
219,8.0,7,0,54,0
20,8.0,0,0,0,0
3599,12.0,0,0,1,0
5,8.0,0,0,0,0
3,12.0,0,75,32,1
0,8.0,0,4,2,1
32,8.0,0,0,2,0
4,8.0,0,11,20,1
24,12.0,20,60,102,1
0,2.0,0,12,0,1
360,5.0,254,1095,1043,0
3,8.0,0,0,0,0
35,8.0,0,0,0,0
1,8.0,0,8,0,1
40,4.0,0,170,151,1
22,9.0,0,0,0,0
22,8.0,0,40,31,0
9,8.0,0,0,0,0
0,0.0,0,12,0,0
7,8.0,0,15,13,1
7,8.0,0,0,0,0
26,52.0,0,0,6,0
14,9.0,0,0,0,1
4,8.0,0,0,0,0
0,8.0,0,2,2,1
20,4.0,0,10,13,1
0,8.0,0,0,0,0
-1,2.0,0,110,130,1
6,12.0,0,11,13,1
7,12.0,0,50,23,1
1,2.0,0,3,1,1
-228,2.0,0,296,418,1
2,8.0,0,32,32,1
11,2.0,0,6,19,1
103,4.0,0,0,17,0
0,0.0,0,50,11,1
0,8.0,0,15,8,1
7,8.0,0,0,0,0
3,12.0,0,0,0,0
2,2.0,0,40,15,1
100,4.0,614,0,187,0
20,12.0,0,5,9,0
31,10.0,0,0,0,0
0,8.0,0,10,7,1
1,9.0,0,7,73,1
7,8.0,0,16,21,1
6,2.0,0,0,0,0
0,2.0,0,5,0,1
43,8.0,0,46,22,0
40,8.0,0,0,0,0
1,2.0,0,0,1,1
0,16.0,0,8,3,1
93,15.0,3,23,61,0
288,8.0,7,117,251,0
4,8.0,0,17,8,1
8,2.0,0,4,18,1
14,2.0,0,0,9,1
9,8.0,0,0,0,0
3,8.0,0,0,0,0
9,8.0,0,5,8,0
3,8.0,0,4,1,0
401,8.0,11,0,90,0
2245,8.0,4,0,30,0
30,0.0,0,0,1,0
0,8.0,0,13,6,1
17,11.0,0,41,38,1
-2,8.0,0,3456,27,1
2801,8.0,0,0,273,0
4,2.0,0,0,0,0
0,2.0,0,2,0,0
3,4.0,0,15,7,1
2,9.0,0,0,0,0
0,8.0,0,107,0,1
0,12.0,0,5,0,0
6,8.0,0,0,0,0
2,8.0,0,0,1,0
0,8.0,0,2,2,1
0,4.0,0,125,0,1
0,8.0,0,5,3,1
2308,2.0,576,7000,4586,0
2,8.0,0,0,1,0
5,8.0,0,0,2,0
3,8.0,0,0,0,0
13,12.0,0,21,24,1
0,2.0,0,5,0,1
151,4.0,72,1167,796,1
58,8.0,0,357,266,1
0,2.0,0,120,0,1
228,8.0,1,420,258,0
0,2.0,0,0,22,1
39,8.0,26,115,114,0
10,8.0,0,7,12,1
2,8.0,0,24,15,1
4,2.0,0,0,0,0
43,8.0,9,4,24,0
2,8.0,0,43,24,1
4,2.0,0,9,14,1
28,8.0,0,0,0,0
0,8.0,0,7,3,1
1,9.0,1,9,6,1
4,0.0,0,4,8,1
388,2.0,197,785,870,0
5,8.0,0,50,30,1
45,2.0,0,0,3,0
2,12.0,0,20,10,1
56,8.0,25,145,187,1
4,2.0,0,0,3,1
1458,13.0,0,0,8,0
245,8.0,0,0,1,0
28576,8.0,180,0,9898,1
2,8.0,0,0,0,0
2,8.0,0,30,43,1
152,8.0,0,0,21,0
2,12.0,0,8,2,0
2,4.0,0,0,0,0
0,2.0,0,5,0,1
2,8.0,0,0,0,0
2,2.0,0,4,5,1
33,8.0,0,0,0,0
14,9.0,0,0,0,0
12,8.0,0,83,111,1
2,8.0,0,0,0,0
19,14.0,0,0,0,0
77,4.0,0,22,43,0
5,8.0,0,0,0,0
4,8.0,0,0,0,1
3196,2.0,0,0,0,0
1,2.0,0,3,2,1
47,2.0,84,48,57,0
0,2.0,59,364,54,1
13,8.0,0,45,27,0
0,8.0,0,18,13,1
2,8.0,0,0,0,1
0,2.0,0,0,1,1
2,9.0,0,0,0,0
0,2.0,0,21,3,1
2,4.0,0,17,1,1
32,8.0,0,0,4,0
25,8.0,0,0,0,0
10,12.0,0,3,0,0
9,4.0,0,0,12,1
11,2.0,0,0,0,0
-301,8.0,112,605,1076,1
2,3.0,0,0,0,0
0,2.0,0,32,1,1
42,8.0,0,12,0,0
14,8.0,0,0,1,0
13,6.0,0,84,23,1
12,12.0,0,0,0,0
6,12.0,0,0,0,0
0,8.0,0,4,8,1
2,8.0,0,0,0,0
42,12.0,0,0,0,0
255,2.0,132,120,282,0
-13,8.0,3,286,161,1
0,12.0,0,214,5,1
11,52.0,0,0,0,0
99,8.0,31,0,25,0
83,8.0,20,418,275,1
19,2.0,0,0,0,0
2,8.0,0,2,2,1
50,8.0,0,500,145,1
0,12.0,0,14,7,1
0,8.0,0,15,8,1
211,8.0,52,598,516,0
3,12.0,0,0,1,0
0,12.0,0,0,0,0
0,8.0,0,156,0,1
0,8.0,0,2,1,1
0,9.0,0,17,9,1
40,12.0,0,0,0,0
51,8.0,0,31,43,0
535,8.0,12,2400,1482,1
3,8.0,0,26,11,1
11,4.0,0,0,2,0
0,2.0,0,14,0,0
0,9.0,0,380,0,1
15,8.0,0,12,15,0
7,8.0,0,20,12,1
9,2.0,0,0,10,1
13,14.0,2,24,36,1
-3,8.0,0,64,51,1
39,8.0,1,40,26,0
3,9.0,0,14,12,1
11,8.0,0,9,10,0
18,2.0,0,24,37,1
3,8.0,0,0,0,0
6,2.0,0,15,0,0
6,9.0,0,3,7,1
4,10.0,0,0,0,0
996,8.0,34,0,171,0
7,8.0,1,0,3,0
2,9.0,0,0,0,0
2,4.0,4,0,2,1
0,12.0,0,6,1,1
65,12.0,0,0,24,0
170,8.0,0,160,94,0
8,12.0,0,5,0,0
0,4.0,0,6,0,1
10,2.0,0,0,0,0
0,9.0,0,1,0,1
6580,8.0,1,0,28,0
4,10.0,0,0,0,0
24,8.0,0,157,10,0
255,12.0,162,200,270,0
53,8.0,0,285,142,1
0,8.0,0,2,3,1
7,8.0,0,0,0,0
14,8.0,0,0,3,0
8,8.0,0,2,1,0
30,4.0,0,0,0,0
6,2.0,0,0,0,0
2,2.0,0,0,0,0
123,8.0,21,161,152,0
0,0.0,0,14,1,1
1,2.0,0,0,0,1
0,2.0,0,5,0,1
0,4.0,0,6,0,1
2,8.0,0,2,4,1
7,8.0,0,48,28,1
0,12.0,0,4,6,1
0,2.0,0,14,0,1
94,4.0,11,30,62,0
98,8.0,0,0,0,0
9,8.0,0,0,0,1
106,8.0,24,141,192,0
21,4.0,0,0,66,0
24,8.0,0,0,4,0
2,2.0,0,0,0,0
186,8.0,50,0,0,0
4570,8.0,0,0,0,0
1,4.0,0,1,5,0
10,9.0,0,0,0,0
1,52.0,0,6,1,1
21290,8.0,0,0,3270,0
1,2.0,1,0,2,1
17,4.0,10,0,5,0
30,8.0,0,101,80,1
10,2.0,0,26,31,1
0,12.0,0,9,7,1
10,9.0,0,0,0,0
16,8.0,0,20,11,0
11,12.0,5,0,0,0
27,8.0,16,62,47,0
110,2.0,0,0,38,1
17,8.0,0,0,2,0
5,8.0,0,0,0,0
0,2.0,0,6,0,1
3,4.0,0,0,0,0
7,8.0,0,0,0,0
3,9.0,0,13,20,1
458,8.0,33,149,1090,1
4,12.0,0,0,0,0
0,13.0,0,20,17,1
5,2.0,0,1,0,0
6,2.0,0,2,0,0
6,2.0,0,0,0,0
0,2.0,0,4,0,1
4,9.0,0,0,0,0
7,2.0,0,47,42,1
3,8.0,0,0,0,0
100,2.0,0,0,0,0
-13,8.0,0,1385,907,1
2,8.0,1,26,19,1
2,2.0,0,1,1,1
474,12.0,0,0,122,0
3,9.0,0,0,0,0
0,8.0,0,3,1,1
99,8.0,30,747,476,1
1,8.0,0,23,17,1
0,8.0,5,30,29,1
12,8.0,0,2,8,0
13,12.0,12,0,0,0
0,9.0,0,4,0,1
1,4.0,0,2,0,0
30,52.0,0,0,0,0
7,8.0,0,23,4,1
-7,8.0,0,56,30,1
11848,8.0,0,0,0,0
7,2.0,0,0,0,0
4,12.0,0,0,1,0
0,12.0,0,10,0,1
0,2.0,0,5,0,1
10,2.0,0,13,6,0
37,9.0,0,0,2,0
0,2.0,0,5,0,1
14,8.0,0,0,6,0
4,9.0,0,0,0,0
0,8.0,0,12,0,1
1,2.0,0,0,0,1
0,8.0,0,80,0,1
1,9.0,0,3,4,1
17,3.0,0,54,87,1
7,8.0,0,0,0,0
0,12.0,0,5,3,1
12,8.0,0,0,0,1
28,15.0,0,0,23,1
91,2.0,13,60,83,0
2,2.0,0,15,13,1
94,8.0,0,0,7,0
0,8.0,0,1,2,1
39,12.0,22,109,120,0
16,8.0,0,68,0,0
4,8.0,0,0,1,1
500,2.0,0,0,0,0
54,8.0,0,0,0,0
3,2.0,0,2,0,0
90,8.0,4,0,18,0
331,8.0,0,8264,0,1
59,52.0,0,0,0,0
11,9.0,0,0,0,0
0,8.0,0,9,4,1
30,8.0,46,1256,1219,1
4,8.0,3,58,39,1
133,2.0,21,211,279,0
59,2.0,0,129,0,1
21,2.0,0,0,15,0
3758,12.0,278,0,893,0
2,9.0,0,0,1,0
0,9.0,2,0,1,1
8,8.0,3,18,17,0
3,2.0,0,3,7,1
2,2.0,0,0,1,1
1,8.0,0,2,2,1
17,8.0,0,77,62,1
15,4.0,0,0,8,0
9,8.0,0,0,0,0
20,4.0,0,0,5,1
3,2.0,0,10,1,1
0,2.0,0,1,0,1
0,2.0,0,2,0,0
3,8.0,7,18,31,1
1,2.0,0,10,2,1
10,8.0,0,0,0,0
3,8.0,0,7,3,1
0,2.0,0,7,5,1
7,2.0,9,11,20,0
24,4.0,0,0,0,0
24,8.0,0,73,33,1
8,8.0,0,47,29,1
1,8.0,0,1,3,1
4,8.0,0,0,1,0
1,8.0,0,3,3,1
3,8.0,0,0,0,0
208,9.0,0,0,6,0
349,2.0,0,0,439,1
485,2.0,0,0,4,0
9,2.0,10,15,36,1
1960,8.0,0,0,40,0
231,52.0,0,0,4,0
1,8.0,0,1,3,1
1,8.0,0,10,8,1
0,2.0,0,4,0,1
0,8.0,0,50,22,1
1,12.0,0,0,0,0
7,12.0,0,96,26,1
22,8.0,0,83,116,1
137,12.0,0,0,14,0
0,10.0,0,1,2,0
396,2.0,0,1000,2634,1
1,52.0,0,0,0,0
14,12.0,3,1,0,0
1,8.0,1,14,12,1
3,2.0,0,0,0,0
0,8.0,0,5,0,0
7,8.0,7,0,0,0
181,8.0,0,0,0,0
10,8.0,0,0,0,0
4,8.0,5,23,31,1
4,8.0,0,0,2,0
440,8.0,0,0,0,0
44,8.0,1,26,17,0
6169,16.0,0,0,1850,0
2,8.0,0,0,0,1
67,2.0,31,33,52,0
1,16.0,0,1,0,0
3,2.0,0,0,1,1
4,2.0,0,4,4,0
3,8.0,0,20,17,1
0,2.0,0,11,0,1
0,8.0,0,19,22,1
27,8.0,15,349,204,1
-1,8.0,0,6,5,1
4,8.0,0,0,0,1
13,12.0,5,0,0,0
8,8.0,4,12,15,0
2,8.0,0,0,0,0
13,8.0,0,0,4,0
0,8.0,0,0,0,1
0,2.0,0,243,0,0
0,0.0,0,53,1,1
13,2.0,0,0,2,0
0,2.0,0,8,0,1
13,2.0,0,0,7,1
1,2.0,0,24,27,1
119,8.0,57,112,110,0
48,8.0,0,208,248,0
0,8.0,0,74,0,1
9,8.0,0,0,0,0
10,13.0,0,0,6,1
0,12.0,0,8,5,1
10,9.0,0,0,0,0
6,2.0,0,64,77,1
1,8.0,0,28,16,1
3,4.0,0,0,2,0
0,12.0,0,8,5,1
2,2.0,0,0,2,1
1,9.0,0,0,0,0
4,2.0,0,5,15,1
111,8.0,0,0,46,0
0,8.0,0,6,0,1
0,2.0,0,4,0,0
227,8.0,0,6900,0,1
3,8.0,0,24,16,1
0,2.0,0,2,1,1
391,8.0,92,494,337,0
33,3.0,70,675,565,1
0,8.0,0,4,4,1
95,8.0,1,366,302,1
3,12.0,0,0,1,0
1,2.0,0,0,0,1
0,2.0,0,24,0,1
2,8.0,0,19,26,1
0,8.0,0,0,0,0
30,8.0,5,36,32,0
31,2.0,0,0,13,0
8,2.0,0,20,10,0
2,2.0,0,12,8,1
7,2.0,0,0,4,1
17,8.0,1,187,108,1
20,12.0,0,0,0,1
198,4.0,107,193,202,0
48,8.0,0,0,2,0
0,2.0,0,6,0,1
5,2.0,1,0,19,1
89,8.0,4,61,101,0
0,9.0,2,8,11,1
45,2.0,59,60,6,1
0,8.0,0,6,0,1
0,8.0,0,60,1,1
3,2.0,0,2,12,1
56,8.0,0,120,0,0
115,8.0,0,439,309,0
1485,8.0,0,0,10,0
1,8.0,0,600,281,1
2,4.0,0,0,0,0
312,9.0,0,0,10,0
1,8.0,2,1,3,0
3,2.0,0,16,24,1
11,9.0,0,0,1,0
3,8.0,0,0,1,0
0,4.0,0,2,0,1
7,12.0,1,11,14,1
66,8.0,5,5,25,0
75,8.0,60,747,493,1
23,2.0,0,0,0,0
4,4.0,0,0,1,1
3,8.0,1,1,5,1
0,2.0,0,8,2,1
11,8.0,0,100,26,1
1,9.0,0,1,1,0
1,2.0,0,19,7,1
51,9.0,0,0,10,0
0,8.0,0,16,13,1
3,9.0,0,0,0,0
97,8.0,3,0,25,0
4,12.0,0,0,0,0
27,2.0,0,24,26,0
-3,8.0,0,173,155,1
11,8.0,2,105,45,1
37,4.0,0,0,0,0
1013,8.0,510,350,949,0
5,8.0,0,0,0,0
3,2.0,0,1,1,0
22,12.0,0,0,0,0
1,8.0,0,15,5,1
32,15.0,0,168,108,0
62,8.0,12,13,26,0
0,8.0,0,22,20,1
394,2.0,46,540,525,0
0,8.0,0,0,0,0
47,12.0,7,0,21,0
21,8.0,0,0,0,0
0,2.0,0,6,0,1
222,8.0,0,0,5,0
8,2.0,0,12,9,1
8,2.0,5,108,71,1
2,2.0,0,13,8,1
4,12.0,0,0,0,0
9,8.0,0,144,66,1
0,8.0,0,0,0,0
6,2.0,0,0,3,0
0,2.0,0,5,0,1
212,8.0,0,0,4,0
0,2.0,0,10,0,1
16,2.0,0,104,16,1
3,9.0,0,0,0,0
5,8.0,0,31,22,1
2,8.0,0,30,16,1
106,8.0,19,248,228,0
-101,8.0,0,317,0,1
0,2.0,0,0,0,1
11,2.0,0,0,0,0
94,8.0,46,28,30,0
1460,8.0,92,0,348,0
5,2.0,0,3,1,1
0,8.0,0,12,4,1
7,8.0,0,0,0,0
1,8.0,0,1,3,1
97,8.0,0,54,73,0
75,8.0,15,50,155,1
0,8.0,0,15,6,1
0,9.0,0,9,3,1
1,2.0,0,3,2,1
36,2.0,8,30,34,0
1,8.0,0,4,5,1
60,8.0,0,0,4,0
2,8.0,0,17,13,1
97,4.0,0,0,0,0
1,8.0,0,3,2,0
22,2.0,10,32,19,0
4,8.0,0,0,0,0
-1,9.0,0,17,24,1
171,8.0,36,217,259,0
1,12.0,0,6,6,1
