national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
0,8.0,0,24,32,40,8,15,24,42,0,0,0,0.51,0.53,0,1,0,0,1,0,1
60,8.0,0,1000,2000,2000,115,303,590,1126,320,0,0,0.0,0.0,10,0,0,1,1,0,1
2,8.0,0,50,50,50,0,0,0,0,0,0,0,0.51,0.53,0,1,0,0,1,0,0
50,8.0,39,64,152,196,53,174,349,574,31,0,0,0.99,0.97,0,0,0,0,1,0,1
187,9.0,0,0,0,0,6,17,27,41,0,0,0,0.86,0.84,0,0,0,0,1,0,0
0,8.0,0,2,3,4,2,3,3,4,0,0,0,0.89,0.88,0,0,0,0,1,0,0
-2,8.0,0,16,20,28,11,19,26,26,0,0,0,0.66,0.63,2,0,0,1,1,0,1
2,8.0,0,0,0,0,1,1,1,1,1,0,0,0.78,0.74,0,1,0,0,1,0,0
0,8.0,0,6,8,11,2,5,9,11,2,0,0,0.41,0.46,0,0,0,1,1,0,1
24,2.0,0,0,0,15,4,8,8,11,0,0,0,0.82,0.91,0,0,0,0,1,0,0
1,12.0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.78,0,0,0,0,1,0,0
3,12.0,0,0,0,0,1,3,4,5,0,0,0,0.73,0.76,0,1,0,0,1,0,1
9,2.0,0,0,0,0,3,5,7,7,0,0,0,0.93,0.92,0,0,0,0,1,0,0
2,8.0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.75,0,1,0,0,1,0,0
1,9.0,0,14,21,28,7,14,24,41,0,0,0,1.0,1.0,0,0,0,0,1,0,1
12,8.0,0,0,4,10,1,1,3,5,0,0,0,0.48,0.36,0,0,0,0,1,0,0
20,2.0,0,45,99,153,16,42,80,111,10,0,0,0.81,0.88,0,0,0,0,1,0,1
427,8.0,0,0,0,0,5,12,24,38,3,0,0,0.88,0.92,0,1,0,0,1,0,0
0,2.0,0,5,8,8,0,0,0,0,1,0,0,0.96,0.96,0,0,0,0,1,0,1
5,4.0,0,0,0,0,0,0,1,1,0,0,0,0.73,0.78,0,0,0,0,1,0,0
17,8.0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.96,0,0,0,0,1,0,0
19,8.0,0,0,0,0,0,1,3,5,0,0,0,0.75,0.88,0,0,0,0,1,0,0
63,8.0,103,100,200,200,29,117,195,288,33,0,0,0.98,0.99,0,0,0,0,1,0,0
2,12.0,0,0,0,0,0,0,0,0,0,0,0,0.78,0.78,0,0,0,0,1,0,0
3,8.0,0,15,31,31,1,7,17,31,8,0,0,0.79,0.78,0,0,0,0,1,0,1
0,12.0,0,7,10,13,0,2,6,8,0,0,3,0.78,0.78,0,0,0,0,1,0,1
1,2.0,0,2,4,6,3,4,9,11,0,0,0,0.78,0.82,0,0,0,0,1,0,1
0,2.0,0,7,8,8,0,2,2,2,0,0,0,0.51,0.53,2,1,0,1,1,0,1
0,2.0,0,88,154,174,0,0,0,0,0,0,0,0.94,0.96,0,0,0,1,1,0,1
11,8.0,0,0,0,0,2,2,4,5,0,0,0,1.0,0.96,0,0,0,0,1,0,0
4,2.0,0,5,5,6,1,1,5,11,0,0,0,0.0,0.0,0,0,0,0,1,0,1
0,2.0,0,178,214,214,0,4,4,4,12,0,0,0.47,0.31,0,1,0,0,1,0,1
96,12.0,0,0,0,0,0,0,0,0,1,0,0,0.57,0.69,0,0,0,1,1,0,0
314,8.0,0,0,0,0,14,47,100,155,14,0,0,0.61,0.59,0,0,0,0,1,0,0
0,2.0,0,20,21,21,0,0,0,0,0,0,0,0.78,0.74,0,1,0,0,1,0,1
24,8.0,0,0,0,0,0,0,0,0,0,0,0,0.31,0.11,0,0,0,0,1,0,0
6,4.0,1,0,0,0,0,0,0,0,0,0,0,0.77,0.8,0,1,0,0,1,0,0
449,12.0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.02,0,0,0,0,1,0,0
25,2.0,0,24,60,96,0,12,22,23,3,0,24,0.84,0.76,0,1,0,0,1,0,0
34,9.0,0,0,10,20,2,9,20,44,1,0,0,1.0,0.95,0,0,0,0,1,0,1
0,10.0,0,4,7,13,2,6,13,16,0,0,0,0.89,0.9,0,0,0,0,1,0,1
1,8.0,0,10,10,10,2,10,17,20,2,0,0,0.99,0.99,0,0,0,0,1,0,1
0,2.0,0,2,2,2,0,0,0,0,1,0,0,0.1,0.13,0,0,0,1,1,0,1
0,9.0,0,9,10,12,1,4,6,10,0,0,0,0.69,0.68,0,0,0,0,1,0,1
0,8.0,0,3,5,7,3,3,5,7,0,0,0,0.99,0.99,0,0,0,0,1,0,1
0,8.0,0,12,28,40,8,13,28,46,4,0,0,0.91,0.83,0,0,0,0,1,0,1
0,10.0,0,56,91,131,10,39,89,133,0,0,0,0.89,0.9,0,0,0,0,1,0,1
0,2.0,0,2,4,5,4,5,7,8,1,0,0,0.95,0.97,0,0,0,0,1,0,1
3,8.0,0,6,11,16,3,16,24,30,2,0,0,0.45,0.69,0,0,0,0,1,0,1
2,12.0,0,0,0,0,0,0,0,0,0,0,0,0.63,0.72,0,0,0,0,1,0,0
80,8.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.53,0,0,0,0,1,0,0
3,9.0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.66,0,0,0,1,1,0,0
0,2.0,0,23,35,47,3,9,21,27,0,0,11,0.66,0.66,0,0,0,1,1,0,1
367,8.0,0,0,0,0,4,18,42,79,20,0,0,1.0,1.0,0,0,0,1,1,0,0
3,2.0,0,4,8,12,1,4,6,11,1,0,0,0.91,0.93,0,0,0,0,1,0,1
-126,8.0,0,1286,1786,2456,463,978,1716,2264,451,0,50,0.45,0.69,153,0,0,1,1,0,1
9,9.0,16,13,21,33,5,13,22,30,0,0,0,0.85,0.83,0,0,0,0,1,0,1
0,12.0,0,14,34,42,6,14,31,49,0,0,0,0.78,0.78,0,0,0,1,1,0,1
